NumMachines,NumTasks,Algorithm,TimeMean,TimeMin,TimeMax,Makespan,MeanDistanceToIdeal
30,500,LS,0.000255556,0.000194018,0.000347295,63482,1252.25
30,500,LPT,0.000391219,0.000311973,0.00042378,60461,44.12
30,500,MULTIFIT,0.00228073,0.00176916,0.00308402,60860,890.853
30,500,Genetic,0.373473,0.189109,0.604721,60483,56.48
40,500,LS,0.000296326,0.000220479,0.000369898,50279,1632.53
40,500,LPT,0.000445357,0.000414558,0.000492206,46425,91.24
40,500,MULTIFIT,0.00193571,0.00158451,0.0024144,46591,681.43
40,500,Genetic,0.266145,0.196262,0.370186,46378,73.31
50,500,LS,0.000264745,0.000233343,0.000302595,41944,1600.18
50,500,LPT,0.000514374,0.000300802,0.0009159,38323,164.929
50,500,MULTIFIT,0.0019753,0.0016182,0.00254566,38337,547.806
50,500,Genetic,0.328617,0.25486,0.527483,38328,126.357
30,600,LS,0.000305397,0.000227723,0.000438464,76230,1616.45
30,600,LPT,0.000397518,0.000297425,0.000506002,72789,107.8
30,600,MULTIFIT,0.00200706,0.00171703,0.00233383,73192,1085.76
30,600,Genetic,0.374294,0.0938963,0.649462,72835,87.5333
40,600,LS,0.000312101,0.000238463,0.000371516,55125,1575.09
40,600,LPT,0.0004535,0.000351107,0.000551508,51072,59.9625
40,600,MULTIFIT,0.00257288,0.00225943,0.00281559,51355,755.881
40,600,Genetic,0.423425,0.265567,0.753091,51043,42.9375
50,600,LS,0.000454899,0.000363491,0.000686995,48003,1315.09
50,600,LPT,0.000441867,0.000344034,0.000582857,43480,44.9904
50,600,MULTIFIT,0.00355752,0.0025186,0.00533265,43684,636.283
50,600,Genetic,0.594236,0.332213,0.86365,43539,89.3936
30,700,LS,0.00042794,0.000337261,0.000564217,87791,1636.75
30,700,LPT,0.000520673,0.000382287,0.000601383,84203,16.1667
30,700,MULTIFIT,0.00301894,0.00263799,0.00334812,84824,1253.05
30,700,Genetic,0.629209,0.378261,0.759633,84232,33.2844
40,700,LS,0.000338499,0.000262188,0.000490511,68460,1367.54
40,700,LPT,0.000582613,0.000388668,0.000680053,63812,41.1775
40,700,MULTIFIT,0.00286421,0.00273204,0.00314619,64227,945.573
40,700,Genetic,0.752214,0.404173,0.975967,63885,77.9725
50,700,LS,0.000507086,0.000392797,0.000674051,55415,1464.1
50,700,LPT,0.000645692,0.000435988,0.000729877,51230,61.7152
50,700,MULTIFIT,0.00305826,0.00277046,0.00332915,51474,755.739
50,700,Genetic,0.722024,0.457312,1.16011,51281,124.722
30,800,LS,0.000508608,0.000371446,0.000602355,99568,1478.29
30,800,LPT,0.000764238,0.000685202,0.000957229,95488,13.16
30,800,MULTIFIT,0.00298136,0.00280269,0.00312443,96199,1427.99
30,800,Genetic,0.572725,0.252758,0.886665,96490,110.6
40,800,LS,0.000521872,0.000316692,0.000863061,76825,1515.02
40,800,LPT,0.000487242,0.000428003,0.00062089,72881,45.3812
40,800,MULTIFIT,0.00277962,0.00262654,0.00295726,73383,1091.81
40,800,Genetic,0.641445,0.363554,0.990547,72915,43.2688
50,800,LS,0.000386051,0.000335147,0.000457039,61503,1543.7
50,800,LPT,0.000703497,0.000452711,0.00103879,58089,44.4656
50,800,MULTIFIT,0.00298547,0.00269488,0.00342983,58448,871.258
50,800,Genetic,0.428711,-11.7144,12.2466,60802,506.091
30,900,LS,0.000404216,0.00031539,0.000543343,111450,1245.1
30,900,LPT,0.000687447,0.00048945,0.000862159,107894,24.64
30,900,MULTIFIT,0.0030541,0.00275874,0.00367418,108687,1616.51
30,900,Genetic,0.788916,0.498505,1.01739,107891,21.6756
40,900,LS,0.000481737,0.000334867,0.000692797,85508,1664.42
40,900,LPT,0.000739475,0.00056557,0.000910897,81443,28.965
40,900,MULTIFIT,0.00354071,0.00329989,0.00386165,81975,1220.9
40,900,Genetic,0.761653,0.330395,1.34874,81409,36.51
50,900,LS,0.000515903,0.000377087,0.000616346,65947,1207.59
50,900,LPT,0.000648028,0.000512444,0.000833444,62493,55.3536
50,900,MULTIFIT,0.00336016,0.00312004,0.00354268,62875,940.106
50,900,Genetic,0.806836,0.619216,1.06414,62472,28.2592
30,1000,LS,0.000470839,0.000362018,0.000631209,124974,1306.16
30,1000,LPT,0.000726864,0.000638869,0.000943804,121355,53.2
30,1000,MULTIFIT,0.00326307,0.00317099,0.00345942,122190,1821.18
30,1000,Genetic,0.680914,0.442975,0.994043,121303,28.9467
40,1000,LS,0.000578092,0.000395992,0.000683804,94727,1105.93
40,1000,LPT,0.000697604,0.000534366,0.000887667,91445,50.325
40,1000,MULTIFIT,0.00372579,0.00353036,0.00386559,92066,1380.9
40,1000,Genetic,1.07575,0.51942,1.4699,91502,67.83
50,1000,LS,0.00063457,0.000507575,0.00076281,76243,1318.3
50,1000,LPT,0.000855396,0.000699669,0.00099687,72317,55.3048
50,1000,MULTIFIT,0.00421904,0.00385728,0.00443646,72775,1090.4
50,1000,Genetic,1.15875,0.928134,1.54669,72271,21.2504
