InstanceID,N,K,B,OptimalMakespan,LS_MaxGroupSum,LS_Time(us),LPT_MaxGroupSum,LPT_Time(us),MULTIFIT_MaxGroupSum,MULTIFIT_Time(us)
1,10,2,8,20,22,4608,20,11,20,61
2,9,2,8,19,22,6,19,7,19,44
3,6,2,8,20,21,4,20,5,20,35
4,4,2,8,12,12,3,12,3,12,26
5,8,2,8,12,13,72,12,6,12,42
6,7,2,8,19,22,5,19,5,19,36
7,3,2,8,14,14,3,14,3,14,22
8,7,2,8,15,19,5,15,5,15,38
9,7,2,8,14,14,5,14,5,14,37
10,7,2,8,15,19,5,15,5,15,36
11,8,2,8,20,23,5,20,6,20,40
12,9,2,8,20,20,5,20,7,20,43
13,6,2,8,11,12,4,11,5,11,32
14,6,2,8,16,17,4,16,5,16,33
15,4,2,8,18,18,3,18,3,18,26
16,5,2,8,15,19,4,15,4,15,28
17,6,2,8,10,11,4,11,5,10,43
18,4,2,8,11,14,4,11,3,11,25
19,6,2,8,18,21,4,18,5,18,33
20,10,2,8,20,20,6,20,7,20,47
21,8,2,8,20,21,5,20,6,20,41
22,9,2,8,19,19,5,19,6,19,43
23,8,2,8,19,23,5,19,6,20,41
24,8,2,8,18,19,5,18,6,18,41
25,4,2,8,16,19,3,16,3,16,26
26,9,2,8,13,14,5,13,6,13,45
27,7,2,8,11,11,5,11,5,11,35
28,5,2,8,18,27,4,18,4,18,28
29,3,2,8,12,12,2,12,2,12,19
30,4,2,8,13,13,3,13,3,13,24
31,9,2,16,396,398,6,396,6,399,42
32,18,2,16,2768,2792,9,2768,13,2789,72
33,15,2,16,318,322,9,319,10,320,60
34,17,2,16,250,250,9,250,11,251,67
35,7,2,16,259,356,5,259,26,260,36
36,11,2,16,242,249,6,245,8,244,48
37,12,2,16,2343,3473,7,2343,8,2360,52
38,20,2,16,2753,3263,10,2753,12,2774,75
39,14,2,16,1096,1145,8,1096,9,1181,57
40,20,2,16,2281,3125,10,2281,13,2298,76
41,14,2,16,1744,1756,8,1744,9,1757,57
42,16,2,16,2307,2357,9,2316,10,2323,64
43,17,2,16,1503,2009,9,1503,11,1514,68
44,15,2,16,111,111,8,111,10,111,62
45,18,2,16,1260,1647,9,1260,12,1269,73
46,16,2,16,1079,1127,9,1079,10,1086,96
47,15,2,16,1053,1211,9,1055,10,1058,64
48,14,2,16,2087,2129,8,2087,9,2103,59
49,15,2,16,2341,3013,9,2341,10,2359,63
50,7,2,16,3261,3261,5,3261,5,3284,36
51,18,2,16,2729,2729,10,2729,12,2750,73
52,12,2,16,806,808,7,806,8,812,53
53,11,2,16,730,731,7,731,7,735,48
54,10,2,16,2744,2826,6,2746,7,2807,47
55,13,2,16,661,816,7,661,8,666,55
56,18,2,16,970,1210,9,971,12,977,74
57,15,2,16,1918,1948,8,1918,10,1927,63
58,14,2,16,1726,1748,8,1737,9,1738,61
59,23,2,16,2976,3509,13,2976,15,2999,2480
60,26,2,16,3090,3667,20,3090,19,3114,362
61,18,2,20,39717,51966,13,39717,102,39925,73
62,22,2,20,50635,66126,12,50635,15,51030,87
63,17,2,20,30139,32345,10,30163,12,30374,68
64,18,2,20,18289,19715,10,18301,12,18431,71
65,20,2,20,45962,55669,11,45962,14,46263,80
66,18,2,20,14532,14544,10,14532,35,14645,73
67,15,2,20,15118,15788,9,15124,10,15224,198
68,21,2,20,38649,40200,12,38649,14,38950,100
69,26,2,20,49344,59845,13,49344,16,49729,95
70,18,2,20,19922,20399,10,19938,12,20051,70
71,32,2,20,39962,41486,14,39962,21,40274,190
72,18,2,20,9331,12675,10,9331,12,9403,72
73,22,2,20,39202,47197,11,39204,15,39508,84
74,26,2,20,41611,45437,13,41611,17,41935,95
75,21,2,20,43110,48012,10,43111,15,43444,78
76,21,2,20,31776,31874,11,31779,54,31958,80
77,15,2,20,33359,48748,8,33359,9,33600,60
78,19,2,20,18114,18121,10,18114,12,18255,74
79,22,2,20,29851,33109,11,29851,14,30084,82
80,18,2,20,6544,6862,9,6544,12,6595,70
81,17,2,20,20762,20792,9,20762,11,20924,67
82,23,2,20,10912,14714,11,10912,14,10997,87
83,17,2,20,32625,32741,9,32741,12,32879,66
84,22,2,20,28959,28999,11,28968,14,29174,81
85,21,2,20,17998,18413,11,18004,13,18132,133
86,26,2,20,48005,49331,13,48009,16,48380,112
87,22,2,20,5928,5956,11,5931,14,5965,81
88,24,2,20,45955,47120,12,45955,15,46314,88
89,26,2,20,32079,32941,13,32080,16,32328,93
90,18,2,20,3324,3332,10,3324,12,3349,68
91,10,3,8,14,15,9,14,226,14,85
92,9,3,8,10,12,8,10,8,10,67
93,10,3,8,17,18,8,17,8,17,53
94,6,3,8,10,15,5,10,5,10,37
95,13,3,8,17,23,9,17,10,17,63
96,6,3,8,18,23,5,18,6,18,36
97,9,3,8,13,15,7,13,8,13,50
98,8,3,8,11,12,6,11,7,11,44
99,11,3,8,11,17,8,11,9,11,55
100,11,3,8,11,12,8,11,9,11,56
101,11,3,8,20,21,8,20,9,20,172
102,13,3,8,18,20,10,18,63,18,86
103,9,3,8,11,12,7,11,8,11,49
104,14,3,8,15,18,9,15,11,15,64
105,10,3,8,17,21,7,17,8,17,51
106,15,3,8,18,21,10,18,11,18,192
107,9,3,8,17,21,7,17,8,17,49
108,7,3,8,10,15,6,10,6,10,41
109,9,3,8,16,24,7,16,8,16,48
110,9,3,8,11,13,7,11,8,11,48
111,9,3,8,14,17,7,14,7,14,47
112,12,3,8,13,13,9,13,9,13,58
113,6,3,8,12,16,6,12,5,12,125
114,10,3,8,20,29,8,20,9,20,53
115,13,3,8,15,21,9,15,10,15,63
116,7,3,8,17,26,6,18,17,17,43
117,8,3,8,12,14,7,12,7,12,44
118,6,3,8,10,15,5,10,5,10,35
119,12,3,8,15,16,9,15,9,15,59
120,12,3,8,14,18,9,14,9,14,58
121,24,3,16,1552,1586,15,1552,18,1564,98
122,23,3,16,1221,1552,15,1222,18,1230,95
123,19,3,16,1177,1295,12,1178,15,1186,82
124,20,3,16,1034,1569,14,1034,15,1042,132
125,21,3,16,119,127,14,119,15,120,89
126,33,3,16,1931,2226,21,1931,24,1946,126
127,21,3,16,1455,1791,14,1455,17,1466,90
128,25,3,16,1539,2318,16,1539,19,1551,100
129,17,3,16,161,199,12,161,14,162,77
130,17,3,16,205,210,12,205,13,206,77
131,21,3,16,348,460,13,348,16,350,225
132,24,3,16,1841,2314,16,1855,18,1855,97
133,27,3,16,1493,1549,17,1493,19,1504,106
134,18,3,16,1076,1330,12,1077,14,1084,78
135,17,3,16,275,328,12,275,13,277,114
136,21,3,16,1521,1815,13,1537,16,1532,89
137,27,3,16,2129,2812,16,2129,20,2145,108
138,19,3,16,392,513,12,392,15,395,106
139,13,3,16,134,142,28,134,11,135,62
140,21,3,16,657,1002,13,658,16,662,87
141,24,3,16,1851,1957,117,1851,19,1865,123
142,27,3,16,2080,2539,16,2080,20,2096,106
143,27,3,16,1192,1757,16,1192,20,1201,107
144,15,3,16,620,651,10,620,12,624,71
145,16,3,16,78,93,38,79,13,78,74
146,23,3,16,615,665,15,615,18,619,96
147,25,3,16,1969,2315,16,1970,19,1984,104
148,22,3,16,1130,1266,14,1130,17,1138,94
149,22,3,16,1122,1482,14,1122,16,1130,95
150,19,3,16,1676,1917,13,1676,15,1689,86
151,25,3,20,2391,2572,16,2391,20,2409,104
152,32,3,20,16870,17202,19,16870,23,17001,150
153,29,3,20,17151,24101,18,17151,23,17284,118
154,22,3,20,14323,16624,15,14323,18,14434,95
155,18,3,20,7627,8223,12,7630,15,7686,83
156,41,3,20,20206,28867,24,20206,31,20363,154
157,39,3,20,27805,32387,24,27806,29,28022,143
158,25,3,20,20909,22890,16,20944,66,21072,104
159,34,3,20,20898,22387,20,20898,25,21061,165
160,23,3,20,3387,4038,15,3425,42,3413,428
161,27,3,20,15908,22310,18,15909,163,16032,402
162,25,3,20,14511,20892,18,14514,20,14624,336
163,27,3,20,11102,16140,587,11121,239,11188,477
164,25,3,20,1040,1134,17,1040,243,1048,6818
165,27,3,20,5188,5444,21,5194,23,5228,114
166,29,3,20,34623,39004,18,34631,21,34893,115
167,27,3,20,25165,25327,16,25167,20,25361,107
168,37,3,20,5626,6112,22,5626,27,5669,138
169,35,3,20,25256,29884,21,25256,80,25453,134
170,36,3,20,7020,9076,22,7020,26,7074,136
171,25,3,20,13749,18446,15,13750,19,13856,132
172,25,3,20,23572,24291,15,23572,19,23756,123
173,28,3,20,14495,20684,18,14501,22,14608,109
174,34,3,20,28725,28818,21,28727,25,28949,263
175,31,3,20,12941,17109,20,12941,23,13042,139
176,41,3,20,30016,30042,24,30016,28,30250,149
177,26,3,20,33134,42146,17,33134,20,33392,107
178,30,3,20,17566,18100,19,17567,23,17703,117
179,26,3,20,9134,12415,16,9135,20,9204,160
180,26,3,20,8325,11169,16,8325,19,8390,103
181,15,4,8,20,32,13,20,13,20,122
182,16,4,8,15,16,12,15,13,15,77
183,15,4,8,14,19,11,14,13,14,74
184,15,4,8,16,20,11,16,13,16,76
185,17,4,8,16,24,13,16,14,16,112
186,18,4,8,18,24,13,18,15,18,84
187,10,4,8,12,17,8,12,33,12,55
188,13,4,8,14,16,10,14,11,14,68
189,10,4,8,20,29,9,20,9,20,57
190,16,4,8,15,19,12,15,14,15,152
191,14,4,8,18,26,11,18,12,18,74
192,13,4,8,20,30,10,20,12,20,70
193,15,4,8,10,13,11,10,13,10,74
194,10,4,8,11,16,8,11,9,11,56
195,13,4,8,17,23,10,17,11,17,90
196,16,4,8,10,13,12,10,13,10,127
197,15,4,8,15,21,11,15,14,15,73
198,14,4,8,15,19,11,15,12,15,71
199,13,4,8,13,15,11,13,11,13,70
200,16,4,8,16,22,12,16,13,16,79
201,13,4,8,11,12,10,11,11,11,67
202,17,4,8,16,22,12,16,15,16,83
203,17,4,8,18,20,53,18,15,18,84
204,20,4,8,16,17,15,16,16,16,92
205,13,4,8,15,23,11,15,11,15,68
206,17,4,8,15,16,13,15,15,15,105
207,16,4,8,14,15,12,14,13,14,79
208,9,4,8,13,20,8,14,9,13,52
209,12,4,8,17,18,9,17,10,17,64
210,11,4,8,10,15,9,10,10,10,60
211,34,4,16,1574,1836,23,1574,28,1586,167
212,13,4,16,11,13,11,11,11,11,66
213,33,4,16,1595,1734,23,1596,28,1607,166
214,37,4,16,1447,1628,25,1447,29,1458,238
215,23,4,16,350,387,39,350,20,352,108
216,30,4,16,778,1027,19,778,24,784,129
217,30,4,16,1135,1351,20,1135,24,1143,128
218,26,4,16,791,1029,52,791,21,797,117
219,37,4,16,982,1245,24,983,30,989,180
220,23,4,16,575,747,16,575,19,579,105
221,28,4,16,978,1092,19,978,23,985,124
222,25,4,16,476,581,29,479,24,479,125
223,26,4,16,287,370,18,288,21,289,139
224,24,4,16,373,381,17,373,19,375,106
225,15,4,16,28,35,11,28,13,28,140
226,28,4,16,950,1405,19,950,23,957,125
227,23,4,16,395,578,17,397,20,398,108
228,21,4,16,1497,1690,15,1500,19,1508,101
229,29,4,16,465,559,20,465,23,468,160
230,35,4,16,1176,1446,24,1176,9048,1185,168
231,29,4,16,669,1075,21,669,23,674,126
232,30,4,16,284,387,20,284,24,286,129
233,26,4,16,247,288,19,247,21,248,120
234,27,4,16,243,290,19,243,21,244,166
235,39,4,16,1380,1678,24,1391,29,1390,160
236,24,4,16,830,934,17,830,20,842,108
237,29,4,16,1605,2036,19,1605,23,1617,126
238,33,4,16,1365,1602,22,1366,26,1375,172
239,26,4,16,190,212,19,190,21,191,140
240,31,4,16,1157,1531,21,1157,24,1166,133
241,35,4,20,25615,35645,24,25615,27,25815,267
242,38,4,20,19688,26320,26,19688,31,19841,157
243,36,4,20,19107,21434,24,20139,27,19256,150
244,32,4,20,7795,10373,52,7795,26,7855,138
245,34,4,20,14716,19017,22,14719,27,14830,146
246,41,4,20,25701,32058,26,25701,32,25901,169
247,32,4,20,9277,9841,22,9283,25,9349,134
248,39,4,20,22490,29423,25,22490,30,22665,198
249,37,4,20,3487,4102,24,3488,29,3514,154
250,35,4,20,6948,7093,24,6948,28,7002,148
251,31,4,20,2297,3276,21,2297,25,2314,135
252,29,4,20,5769,6597,20,5778,24,5814,127
253,36,4,20,7327,7518,24,7327,170,7384,551
254,41,4,20,25944,37005,27,26116,33,26146,197
255,40,4,20,6940,9769,66,6941,56,6994,669
256,36,4,20,23588,29115,8173,23589,35,23772,168
257,35,4,20,13765,16698,23,13788,28,13872,149
258,42,4,20,25105,26545,27,25105,34,25301,175
259,41,4,20,18330,19734,26,18330,32,18473,174
260,44,4,20,9397,10372,55,9672,34,9470,182
261,43,4,20,13246,16112,28,13246,33,13349,174
262,44,4,20,8144,12689,27,8144,33,8207,175
263,44,4,20,18835,27477,28,18835,35,18982,175
264,42,4,20,6036,8180,57,6036,33,6083,172
265,33,4,20,8342,12680,21,8343,25,8407,195
266,33,4,20,5501,5879,22,5501,26,5543,138
267,44,4,20,8255,11896,28,8255,34,8319,177
268,40,4,20,19370,25770,27,19757,56,19521,164
269,42,4,20,12945,16002,27,12945,32,13046,186
270,41,4,20,8830,12152,27,8830,31,8898,166
271,25,8,8,10,14,23,10,23,10,141
272,27,8,8,12,15,23,12,25,12,165
273,23,8,8,17,23,19,17,22,17,134
274,24,8,8,17,23,20,18,23,17,136
275,26,8,8,16,21,22,16,24,16,147
