InstanceID,M,N,B,OptimalMakespan,LS_MaxGroupSum,LS_Time(us),LPT_MaxGroupSum,LPT_Time(us),MULTIFIT_MaxGroupSum,MULTIFIT_Time(us),Genetic_1_MaxGroupSum,Genetic_1_Time(us),Genetic_2_MaxGroupSum,Genetic_2_Time(us),Genetic_3_MaxGroupSum,Genetic_3_Time(us),Genetic_4_MaxGroupSum,Genetic_4_Time(us),Genetic_5_MaxGroupSum,Genetic_5_Time(us),SA_1_MaxGroupSum,SA_1_Time(us),SA_2_MaxGroupSum,SA_2_Time(us),SA_3_MaxGroupSum,SA_3_Time(us),SA_4_MaxGroupSum,SA_4_Time(us),SA_5_MaxGroupSum,SA_5_Time(us),IG_1_MaxGroupSum,IG_1_Time(us),IG_2_MaxGroupSum,IG_2_Time(us),IG_3_MaxGroupSum,IG_3_Time(us),IG_4_MaxGroupSum,IG_4_Time(us),IG_5_MaxGroupSum,IG_5_Time(us)
1,2,2,4,15,15,575,15,2,15,12,15,358,15,165,15,204,15,136,15,124,15,484,15,463,15,488,15,474,15,466,15,200012,15,200020,15,200021,15,200021,15,200019
2,2,2,4,11,11,5,11,2,11,12,11,135,11,122,11,139,11,129,11,148,11,853,11,654,11,465,11,462,11,523,11,200013,11,200106,11,200020,11,200020,11,200020
3,2,2,4,16,16,5,16,2,16,12,16,142,16,122,16,121,16,131,16,121,16,465,16,470,16,469,16,511,16,464,16,200012,16,200019,16,200019,16,200022,16,200020
4,2,2,4,12,12,5,12,2,12,11,12,132,12,184,12,130,12,122,12,122,12,479,12,475,12,465,12,468,12,465,12,200011,12,200029,12,200022,12,200021,12,200019
5,2,2,4,14,14,5,14,2,14,11,14,132,14,121,14,124,14,122,14,130,14,465,14,472,14,471,14,477,14,466,14,200011,14,200021,14,200020,14,200021,14,200023
6,2,2,8,223,223,5,223,2,223,15,223,138,223,127,223,123,223,128,223,122,223,468,223,463,223,467,223,471,223,475,223,200015,223,200020,223,200020,223,200020,223,200022
7,2,2,8,140,140,5,140,2,140,15,140,133,140,122,140,122,140,122,140,129,140,465,140,466,140,469,140,465,140,466,140,200011,140,200020,140,200027,140,200020,140,200020
8,2,2,8,129,129,5,129,2,129,16,129,134,129,127,129,122,129,121,129,125,129,493,129,468,129,464,129,461,129,470,129,200012,129,200023,129,200019,129,200021,129,200021
9,2,2,8,131,131,4,131,2,131,15,131,142,131,123,131,126,131,121,131,121,131,466,131,470,131,464,131,472,131,468,131,200012,131,200019,131,200019,131,200020,131,200021
10,2,2,8,150,150,5,150,2,150,15,150,135,150,135,150,124,150,123,150,121,150,473,150,462,150,464,150,477,150,466,150,200013,150,200021,150,200021,150,200021,150,200020
11,2,2,16,59499,59499,6,59499,2,59499,23,59499,133,59499,123,59499,128,59499,126,59499,121,59499,467,59499,467,59499,485,59499,463,59499,481,59499,200012,59499,200019,59499,200020,59499,200023,59499,200021
12,2,2,16,48544,48544,4,48544,2,48544,15,48544,135,48544,125,48544,121,48544,124,48544,121,48544,473,48544,478,48544,462,48544,466,48544,476,48544,200015,48544,200021,48544,200018,48544,200021,48544,200036
13,2,2,16,64987,64987,5,64987,2,64987,15,64987,134,64987,125,64987,124,64987,135,64987,123,64987,483,64987,471,64987,466,64987,467,64987,473,64987,200011,64987,200021,64987,200019,64987,200019,64987,200022
14,2,2,16,42471,42471,4,42471,2,42471,15,42471,136,42471,125,42471,121,42471,122,42471,120,42471,467,42471,484,42471,469,42471,466,42471,461,42471,200012,42471,200020,42471,200020,42471,200021,42471,200020
15,2,2,16,64739,64739,5,64739,2,64739,15,64739,134,64739,122,64739,123,64739,137,64739,121,64739,470,64739,474,64739,466,64739,478,64739,465,64739,200012,64739,200020,64739,200020,64739,200021,64739,200022
16,2,2,32,3320353321,3320353321,5,3320353321,2,3320353321,15,3320353321,913,3320353321,879,3320353321,896,3320353321,882,3320353321,876,3320353321,472,3320353321,465,3320353321,467,3320353321,486,3320353321,464,3320353321,200012,3320353321,200021,3320353321,200019,3320353321,200020,3320353321,200021
17,2,2,32,3332053141,3332053141,5,3332053141,2,3332053141,15,3332053141,904,3332053141,907,3332053141,1055,3332053141,910,3332053141,911,3332053141,472,3332053141,471,3332053141,466,3332053141,464,3332053141,460,3332053141,200011,3332053141,200020,3332053141,200021,3332053141,200020,3332053141,200021
18,2,2,32,2907840138,2907840138,5,2907840138,2,2907840138,15,2907840138,942,2907840138,893,2907840138,935,2907840138,876,2907840138,867,2907840138,482,2907840138,475,2907840138,463,2907840138,468,2907840138,466,2907840138,200012,2907840138,200019,2907840138,200020,2907840138,200020,2907840138,200018
19,2,2,32,2189811967,2189811967,5,2189811967,2,2189811967,15,2189811967,899,2189811967,882,2189811967,871,2189811967,909,2189811967,867,2189811967,472,2189811967,463,2189811967,481,2189811967,473,2189811967,463,2189811967,200011,2189811967,200022,2189811967,200020,2189811967,200022,2189811967,200022
20,2,2,32,2672679726,2672679726,5,2672679726,2,2672679726,20,2672679726,888,2672679726,907,2672679726,887,2672679726,883,2672679726,968,2672679726,472,2672679726,470,2672679726,464,2672679726,463,2672679726,485,2672679726,200013,2672679726,200022,2672679726,200020,2672679726,200021,2672679726,200021
21,3,2,4,12,12,6,12,3,12,14,12,154,12,142,12,138,12,143,12,138,12,414,12,398,12,398,12,404,12,400,12,200013,12,200020,12,200019,12,200021,12,200020
22,3,2,4,14,14,5,14,2,14,14,14,154,14,138,14,139,14,139,14,138,14,425,14,389,14,388,14,399,14,396,14,200014,14,200021,14,200027,14,200021,14,200025
23,3,2,4,13,17,4,13,2,13,15,13,173,13,141,13,147,13,142,13,136,13,392,13,388,13,388,13,401,13,393,13,200015,13,200024,13,200024,13,200023,13,200020
24,3,2,4,19,22,5,19,2,19,16,19,152,19,143,19,155,19,137,19,141,19,407,19,396,19,394,19,392,19,395,19,200012,19,200022,19,200021,19,200021,19,200022
25,3,2,4,15,15,5,15,3,15,14,15,162,15,140,15,147,15,138,15,139,15,395,15,384,15,396,15,387,15,385,15,200012,15,200021,15,200022,15,200020,15,200019
26,3,2,8,260,260,5,260,3,260,19,260,166,260,138,260,148,260,137,260,489,260,409,260,425,260,403,260,403,260,403,260,200015,260,200020,260,200022,260,200021,260,200025
27,3,2,8,317,411,5,317,3,317,19,317,151,317,141,317,138,317,142,317,139,317,397,317,386,317,409,317,406,317,387,317,200014,317,200020,317,200020,317,200020,317,200023
28,3,2,8,286,286,5,286,3,286,19,286,152,286,138,286,137,286,149,286,137,286,393,286,401,286,384,286,389,286,393,286,200011,286,200023,286,200021,286,200022,286,200022
29,3,2,8,332,332,5,332,2,332,19,332,160,332,140,332,140,332,141,332,147,332,423,332,462,332,417,332,402,332,398,332,200012,332,200022,332,200022,332,200023,332,200020
30,3,2,8,236,236,5,236,3,236,20,236,153,236,143,236,142,236,145,236,144,236,393,236,418,236,472,236,483,236,439,236,200012,236,200021,236,200019,236,200019,236,200018
31,3,2,16,73186,91559,4,73186,2,73186,19,73186,141,73186,134,73186,129,73186,140,73186,130,73186,382,73186,366,73186,378,73186,374,73186,366,73186,200014,73186,200020,73186,200023,73186,200022,73186,200020
32,3,2,16,58206,58206,5,58206,3,58206,20,58206,161,58206,139,58206,138,58206,136,58206,137,58206,391,58206,389,58206,387,58206,405,58206,395,58206,200013,58206,200020,58206,200021,58206,200019,58206,200021
33,3,2,16,67839,67839,5,67839,3,67839,19,67839,150,67839,138,67839,158,67839,141,67839,139,67839,415,67839,390,67839,386,67839,386,67839,392,67839,200011,67839,200020,67839,200021,67839,200021,67839,200022
34,3,2,16,52495,52495,5,52495,3,52495,19,52495,151,52495,147,52495,140,52495,142,52495,138,52495,394,52495,389,52495,397,52495,405,52495,392,52495,200013,52495,200021,52495,200019,52495,200020,52495,200020
35,3,2,16,71033,71033,5,71033,2,71033,19,71033,163,71033,139,71033,138,71033,139,71033,138,71033,390,71033,397,71033,385,71033,390,71033,389,71033,200016,71033,200023,71033,200019,71033,200021,71033,200020
36,3,2,32,3456137665,3456137665,5,3456137665,3,3456137665,19,3456137665,991,3456137665,1002,3456137665,944,3456137665,964,3456137665,947,3456137665,394,3456137665,399,3456137665,388,3456137665,389,3456137665,384,3456137665,200014,3456137665,200023,3456137665,200031,3456137665,200021,3456137665,200022
37,3,2,32,5327147933,6413602609,5,5327147933,3,5327147933,26,5327147933,972,5327147933,960,5327147933,995,5327147933,1024,5327147933,967,5327147933,417,5327147933,389,5327147933,386,5327147933,386,5327147933,387,5327147933,200013,5327147933,200024,5327147933,200020,5327147933,200021,5327147933,200020
38,3,2,32,4384952660,6490869103,4,4384952660,2,4384952660,19,4384952660,977,4384952660,969,4384952660,975,4384952660,975,4384952660,958,4384952660,401,4384952660,386,4384952660,391,4384952660,382,4384952660,397,4384952660,200013,4384952660,200020,4384952660,200020,4384952660,200022,4384952660,200020
39,3,2,32,6242930927,6242930927,5,6242930927,3,6242930927,19,6242930927,971,6242930927,898,6242930927,901,6242930927,891,6242930927,953,6242930927,383,6242930927,364,6242930927,363,6242930927,381,6242930927,370,6242930927,200012,6242930927,200020,6242930927,200021,6242930927,200019,6242930927,200020
40,3,2,32,5469612997,5469612997,5,5469612997,2,5469612997,22,5469612997,980,5469612997,976,5469612997,973,5469612997,999,5469612997,1052,5469612997,399,5469612997,398,5469612997,393,5469612997,390,5469612997,389,5469612997,200015,5469612997,200024,5469612997,200026,5469612997,200022,5469612997,200020
41,4,2,4,22,22,5,22,3,22,19,22,174,22,154,22,156,22,163,22,154,22,406,22,404,22,408,22,417,22,446,22,200012,22,200022,22,200022,22,200021,22,200022
42,4,2,4,23,23,5,23,3,23,18,23,175,23,159,23,156,23,158,23,159,23,396,23,397,23,405,23,406,23,398,23,200013,23,200019,23,200021,23,200022,23,200023
43,4,2,4,22,24,5,22,3,22,19,22,168,22,170,22,154,22,166,22,153,22,411,22,411,22,484,22,445,22,415,22,200012,22,200022,22,200021,22,200021,22,200022
44,4,2,4,28,29,6,28,3,28,23,28,170,28,155,28,168,28,170,28,172,28,419,28,400,28,422,28,399,28,404,28,200013,28,200020,28,200020,28,200020,28,200022
45,4,2,4,17,17,5,17,3,17,18,17,166,17,161,17,163,17,154,17,152,17,403,17,400,17,402,17,397,17,398,17,200012,17,200019,17,200021,17,200020,17,200023
46,4,2,8,395,473,5,395,4,395,23,395,170,395,159,395,153,395,161,395,155,395,419,395,426,395,424,395,416,395,412,395,200012,395,200022,395,200022,395,200022,395,200022
47,4,2,8,466,575,6,466,3,466,22,466,167,466,165,466,154,466,155,466,156,466,417,466,406,466,397,466,404,466,396,466,200012,466,200019,466,200022,466,200022,466,200021
48,4,2,8,372,390,5,372,3,372,22,372,175,372,159,372,164,372,156,372,153,372,413,372,408,372,418,372,413,372,414,372,200013,372,200022,372,200021,372,200022,372,200021
49,4,2,8,365,365,6,365,3,365,23,365,173,365,153,365,157,365,153,365,159,365,434,365,403,365,401,365,403,365,424,365,200012,365,200020,365,200034,365,200025,365,200021
50,4,2,8,428,428,5,428,3,428,23,428,166,428,154,428,167,428,162,428,156,428,434,428,411,428,403,428,404,428,403,428,200013,428,200021,428,200021,428,200022,428,200020
51,4,2,16,103717,108170,5,103717,3,103717,23,103717,169,103717,154,103717,167,103717,171,103717,153,103717,403,103717,404,103717,419,103717,395,103717,392,103717,200013,103717,200021,103717,200024,103717,200021,103717,200019
52,4,2,16,114429,161443,5,114429,3,114429,23,114429,184,114429,155,114429,155,114429,169,114429,175,114429,408,114429,403,114429,395,114429,394,114429,426,114429,200012,114429,200020,114429,200021,114429,200022,114429,200020
53,4,2,16,67356,79458,5,67356,3,67356,23,67356,171,67356,153,67356,170,67356,202,67356,203,67356,405,67356,408,67356,402,67356,396,67356,397,67356,200014,67356,200022,67356,200022,67356,200021,67356,200021
54,4,2,16,86653,86653,5,86653,3,86653,23,86653,188,86653,157,86653,180,86653,153,86653,153,86653,413,86653,402,86653,391,86653,392,86653,396,86653,200013,86653,200029,86653,200022,86653,200023,86653,200020
55,4,2,16,114259,116716,5,114259,3,114259,23,114259,173,114259,154,114259,155,114259,171,114259,153,114259,412,114259,417,114259,395,114259,401,114259,396,114259,200012,114259,200020,114259,200020,114259,200021,114259,200021
56,4,2,32,4926162961,6417051322,5,4926162961,3,4926162961,23,4926162961,1110,4926162961,1033,4926162961,1072,4926162961,1051,4926162961,1038,4926162961,403,4926162961,403,4926162961,445,4926162961,558,4926162961,491,4926162961,200013,4926162961,200023,4926162961,200024,4926162961,200023,4926162961,200020
57,4,2,32,6167455700,7464777184,6,6167455700,3,6167455700,23,6167455700,1065,6167455700,1066,6167455700,1040,6167455700,1089,6167455700,1056,6167455700,438,6167455700,418,6167455700,416,6167455700,602,6167455700,429,6167455700,200012,6167455700,200023,6167455700,200021,6167455700,200025,6167455700,200021
58,4,2,32,8498304498,8498304498,5,8498304498,3,8498304498,23,8498304498,1089,8498304498,1036,8498304498,1024,8498304498,1069,8498304498,1069,8498304498,409,8498304498,401,8498304498,406,8498304498,403,8498304498,408,8498304498,200013,8498304498,200019,8498304498,200021,8498304498,200020,8498304498,200021
59,4,2,32,7366193192,7560248381,6,7366193192,4,7366193192,29,7366193192,1105,7366193192,1044,7366193192,1043,7366193192,1049,7366193192,1098,7366193192,427,7366193192,780,7366193192,414,7366193192,432,7366193192,414,7366193192,200012,7366193192,200022,7366193192,200019,7366193192,200023,7366193192,200023
60,4,2,32,7444130474,7444130474,5,7444130474,3,7444130474,23,7444130474,1131,7444130474,1049,7444130474,1066,7444130474,1036,7444130474,1063,7444130474,416,7444130474,397,7444130474,392,7444130474,395,7444130474,395,7444130474,200017,7444130474,200023,7444130474,200020,7444130474,200019,7444130474,200020
61,5,2,4,38,38,5,38,4,38,23,38,236,38,173,38,174,38,170,38,187,38,421,38,411,38,407,38,408,38,434,38,200013,38,200020,38,200022,38,200020,38,200020
62,5,2,4,23,26,6,23,4,23,21,23,186,23,177,23,168,23,168,23,168,23,413,23,410,23,414,23,405,23,413,23,200015,23,200022,23,200021,23,200020,23,200023
63,5,2,4,23,27,5,24,3,23,20,23,181,23,172,23,177,23,167,23,167,23,433,23,432,23,413,23,418,23,412,23,19,23,18,23,18,23,17,23,18
64,5,2,4,28,33,2,28,2,28,18,28,171,28,169,28,170,28,175,28,168,28,417,28,405,28,406,28,425,28,404,28,200012,28,200021,28,200022,28,200021,28,200049
65,5,2,4,26,33,5,26,3,26,21,26,185,26,183,26,179,26,179,26,168,26,433,26,427,26,423,26,426,26,420,26,200014,26,200024,26,200023,26,200020,26,200022
66,5,2,8,542,542,6,542,3,542,25,542,242,542,218,542,215,542,208,542,213,542,408,542,418,542,409,542,403,542,482,542,200014,542,200021,542,200023,542,200020,542,200022
67,5,2,8,368,397,5,368,3,368,24,368,182,368,167,368,159,368,158,368,165,368,393,368,387,368,383,368,387,368,396,368,200013,368,200021,368,200019,368,200021,368,200019
68,5,2,8,379,384,6,379,3,379,25,379,186,379,181,379,177,379,167,379,168,379,417,379,445,379,419,379,420,379,420,379,200014,379,200021,379,200022,379,200021,379,200023
69,5,2,8,350,381,5,350,4,350,26,350,183,350,169,350,170,350,178,350,177,350,414,350,547,350,455,350,436,350,408,350,200013,350,200020,350,200020,350,200021,350,200020
70,5,2,8,628,842,6,628,3,632,25,628,195,628,172,628,169,628,175,628,166,628,415,628,415,628,418,628,424,628,411,628,200014,628,200021,628,200339,628,200021,628,200023
71,5,2,16,134634,145877,5,134634,4,134634,26,134634,186,134634,182,134634,174,134634,185,134634,172,134634,421,134634,426,134634,410,134634,499,134634,464,134634,200013,134634,200022,134634,200022,134634,200021,134634,200025
72,5,2,16,120936,120936,7,120936,5,120936,32,120936,185,120936,178,120936,171,120936,169,120936,181,120936,529,120936,436,120936,410,120936,398,120936,403,120936,200014,120936,200022,120936,200023,120936,200023,120936,200023
73,5,2,16,105696,153507,5,105696,3,105696,26,105696,186,105696,180,105696,168,105696,205,105696,173,105696,431,105696,403,105696,403,105696,408,105696,401,105696,200013,105696,200024,105696,200026,105696,200027,105696,200024
