InstanceID,M,N,B,OptimalMakespan,LS_MaxGroupSum,LS_Time(us),LPT_MaxGroupSum,LPT_Time(us),MULTIFIT_MaxGroupSum,MULTIFIT_Time(us),Genetic_1_MaxGroupSum,Genetic_1_Time(us),Genetic_2_MaxGroupSum,Genetic_2_Time(us),Genetic_3_MaxGroupSum,Genetic_3_Time(us),Genetic_4_MaxGroupSum,Genetic_4_Time(us),Genetic_5_MaxGroupSum,Genetic_5_Time(us),SA_1_MaxGroupSum,SA_1_Time(us),SA_2_MaxGroupSum,SA_2_Time(us),SA_3_MaxGroupSum,SA_3_Time(us),SA_4_MaxGroupSum,SA_4_Time(us),SA_5_MaxGroupSum,SA_5_Time(us),IG_1_MaxGroupSum,IG_1_Time(us),IG_2_MaxGroupSum,IG_2_Time(us),IG_3_MaxGroupSum,IG_3_Time(us),IG_4_MaxGroupSum,IG_4_Time(us),IG_5_MaxGroupSum,IG_5_Time(us)
1,2,2,4,10,10,483,10,2,10,11,10,949,10,851,10,965,10,1018,10,912,10,440,10,410,10,411,10,410,10,409,10,305,10,304,10,296,10,293,10,294
2,2,2,4,13,13,1,13,1,13,10,13,917,13,965,13,1144,13,958,13,887,13,416,13,407,13,415,13,416,13,419,13,299,13,313,13,303,13,292,13,289
3,2,2,4,12,12,1,12,1,12,10,12,864,12,889,12,854,12,879,12,865,12,416,12,418,12,412,12,448,12,414,12,297,12,294,12,296,12,302,12,297
4,2,2,4,9,9,2,9,1,9,9,9,857,9,886,9,859,9,866,9,855,9,448,9,422,9,426,9,500,9,419,9,296,9,340,9,306,9,304,9,305
5,2,2,4,6,6,2,6,1,6,6,6,877,6,849,6,909,6,874,6,873,6,413,6,409,6,412,6,425,6,424,6,294,6,293,6,298,6,328,6,313
6,2,2,8,155,155,2,155,2,155,14,155,937,155,955,155,866,155,864,155,832,155,435,155,410,155,446,155,417,155,412,155,346,155,291,155,290,155,514,155,299
7,2,2,8,249,249,1,249,1,249,13,249,856,249,852,249,834,249,887,249,857,249,412,249,422,249,433,249,414,249,417,249,294,249,295,249,303,249,303,249,295
8,2,2,8,244,244,1,244,1,244,10,244,867,244,887,244,887,244,1148,244,907,244,414,244,411,244,434,244,425,244,407,244,300,244,302,244,296,244,349,244,296
9,2,2,8,104,104,2,104,1,104,15,104,850,104,976,104,1073,104,857,104,846,104,412,104,439,104,413,104,417,104,409,104,310,104,320,104,295,104,293,104,292
10,2,2,8,217,217,2,217,1,217,12,217,863,217,862,217,1111,217,1508,217,1259,217,421,217,446,217,424,217,425,217,410,217,428,217,328,217,717,217,435,217,298
