InstanceID,M,N,B,OptimalMakespan,LS_MaxGroupSum,LS_Time(us),LPT_MaxGroupSum,LPT_Time(us),MULTIFIT_MaxGroupSum,MULTIFIT_Time(us),CGA_MaxGroupSum,CGA_Time(us)
1,2,2,4,15,15,9,15,2,15,26,15,5
2,2,2,4,8,8,1,8,1,8,9,8,2
3,2,2,4,9,9,1,9,1,9,10,9,2
4,2,2,4,14,14,1,14,1,14,10,14,2
5,2,2,4,10,10,1,10,1,10,9,10,2
6,2,2,8,220,220,1,220,1,220,10,220,2
7,2,2,8,255,255,1,255,1,255,10,255,2
8,2,2,8,135,135,1,135,1,135,10,135,2
9,2,2,8,168,168,1,168,1,168,9,168,2
10,2,2,8,230,230,1,230,1,230,10,230,2
11,2,2,16,41526,41526,1,41526,1,41526,10,41526,2
12,2,2,16,37504,37504,1,37504,1,37504,9,37504,2
13,2,2,16,42847,42847,1,42847,1,42847,9,42847,2
14,2,2,16,56723,56723,1,56723,1,56723,9,56723,2
15,2,2,16,37202,37202,1,37202,1,37202,9,37202,2
16,3,2,4,12,14,1,12,2,12,14,12,3
17,3,2,4,16,20,1,16,1,16,13,16,2
18,3,2,4,19,26,1,19,1,19,13,19,2
19,3,2,4,21,25,1,21,1,21,13,21,2
20,3,2,4,15,19,2,15,1,15,13,15,3
21,3,2,8,266,288,1,266,1,266,13,266,2
22,3,2,8,313,450,1,313,1,313,12,313,2
23,3,2,8,346,444,1,346,1,346,13,346,3
24,3,2,8,341,444,1,341,1,341,13,341,2
25,3,2,8,195,229,1,195,1,195,13,195,3
26,3,2,16,55725,65836,2,55725,2,55725,20,55725,4
27,3,2,16,52857,58437,2,52857,2,52857,19,52857,5
28,3,2,16,60847,77554,3,60847,2,60847,22,60847,3
29,3,2,16,55493,75612,2,55493,1,55493,13,55493,3
30,3,2,16,51573,64303,1,51573,1,51573,13,51573,2
31,4,2,4,29,33,2,29,2,29,16,29,5
32,4,2,4,20,27,2,20,2,20,16,20,5
33,4,2,4,30,35,2,30,2,30,15,30,5
34,4,2,4,24,32,2,24,2,24,15,24,5
35,4,2,4,20,27,2,20,2,20,15,20,4
36,4,2,8,497,502,2,497,2,497,15,497,5
37,4,2,8,341,449,2,341,2,341,15,341,4
38,4,2,8,283,349,2,283,2,283,16,283,5
39,4,2,8,282,318,2,282,2,282,16,282,5
40,4,2,8,397,403,2,397,2,397,15,397,5
41,4,2,16,126633,142658,2,126633,2,126633,15,126633,5
42,4,2,16,86868,109401,2,86868,2,86868,16,86868,5
43,4,2,16,105670,107554,2,105670,2,105670,15,105670,5
44,4,2,16,122965,137565,2,122965,2,122965,15,122965,5
45,4,2,16,122553,141085,2,122553,2,123162,15,122553,5
46,5,2,4,25,31,2,25,2,25,19,25,5
47,5,2,4,26,29,2,26,2,26,18,26,6
48,5,2,4,21,26,2,21,2,21,19,21,6
49,5,2,4,20,23,2,20,2,20,19,20,5
50,5,2,4,39,53,2,39,2,39,18,39,6
51,5,2,8,591,598,2,598,2,591,18,591,9
52,5,2,8,470,558,2,470,2,470,18,470,5
53,5,2,8,508,549,2,508,2,508,18,508,6
54,5,2,8,547,676,2,547,2,549,18,547,6
55,5,2,8,412,414,2,414,2,412,18,412,9
56,5,2,16,130775,136559,2,130775,2,130775,18,130775,6
57,5,2,16,113789,121537,2,113789,2,114588,18,113789,5
58,5,2,16,132114,181215,2,132114,2,132114,18,132114,6
59,5,2,16,126735,171395,2,126735,2,126735,19,126735,6
60,5,2,16,146732,156230,2,146732,2,146732,18,146732,6
61,6,2,4,26,30,2,27,2,26,21,26,10
62,6,2,4,45,55,3,45,2,45,21,45,7
63,6,2,4,43,44,2,43,2,43,20,43,7
64,6,2,4,25,26,2,25,2,25,21,25,7
65,6,2,4,28,35,2,28,2,28,21,28,7
66,6,2,8,563,567,2,563,2,567,20,563,7
67,6,2,8,483,551,2,483,2,483,21,483,7
68,6,2,8,439,482,2,439,3,439,21,439,7
69,6,2,8,650,859,3,650,2,652,20,650,6
70,6,2,8,484,519,3,484,3,484,21,484,7
71,6,2,16,152983,180036,2,152983,2,153546,21,152983,7
72,6,2,16,167374,169951,3,167374,2,169951,21,167374,9
73,6,2,16,120241,144232,2,120241,2,120241,21,120241,7
74,6,2,16,173141,217492,2,173141,2,173141,21,173141,7
75,6,2,16,102268,107395,2,105221,2,102268,21,102268,10
76,7,2,4,36,39,3,36,3,36,23,36,11
77,7,2,4,31,41,3,31,3,31,23,31,8
78,7,2,4,53,56,3,53,3,53,30,53,8
79,7,2,4,47,55,3,48,3,47,23,47,13
80,7,2,4,30,32,3,30,3,31,22,30,11
81,7,2,8,681,917,3,681,3,681,23,681,7
82,7,2,8,545,558,3,545,3,549,23,545,7
83,7,2,8,892,905,3,918,3,895,23,892,16
84,7,2,8,624,668,3,625,3,627,23,624,11
85,7,2,8,469,474,4,474,4,469,24,469,12
