InstanceID,M,N,B,OptimalMakespan,LS_MaxGroupSum,LS_Time(us),LPT_MaxGroupSum,LPT_Time(us),MULTIFIT_MaxGroupSum,MULTIFIT_Time(us),CGA_MaxGroupSum,CGA_Time(us)
1,2,2,4,2,2,8,2,2,2,14,2,5
2,2,2,4,14,14,1,14,1,14,9,14,2
3,2,2,4,13,13,1,13,1,13,10,13,2
4,2,2,4,15,15,1,15,1,15,9,15,2
5,2,2,4,14,14,1,14,1,14,9,14,2
6,2,2,8,90,90,1,90,1,90,9,90,2
7,2,2,8,231,231,1,231,1,231,9,231,2
8,2,2,8,82,82,1,82,1,82,9,82,2
9,2,2,8,115,115,1,115,1,115,17,115,2
10,2,2,8,42,42,1,42,1,42,10,42,2
11,2,2,16,34218,34218,1,34218,1,34218,9,34218,2
12,2,2,16,8695,8695,1,8695,1,8695,9,8695,2
13,2,2,16,30905,30905,1,30905,1,30905,9,30905,2
14,2,2,16,24183,24183,1,24183,1,24183,9,24183,2
15,2,2,16,37133,37133,1,37133,1,37133,9,37133,2
16,3,2,4,15,15,1,15,1,15,13,15,5
17,3,2,4,6,6,1,6,1,6,13,6,3
18,3,2,4,20,22,1,20,1,20,12,20,4
19,3,2,4,12,12,1,12,1,12,13,12,3
20,3,2,4,11,11,1,11,1,11,13,11,2
21,3,2,8,253,253,1,253,1,253,12,253,2
22,3,2,8,253,253,1,253,1,253,13,253,4
23,3,2,8,184,184,1,184,1,184,13,184,5
24,3,2,8,237,237,1,237,1,237,12,237,4
25,3,2,8,137,137,2,137,2,137,12,137,2
26,3,2,16,58587,58587,2,58587,2,58587,16,58587,3
27,3,2,16,58531,58531,3,58531,2,58531,22,58531,5
28,3,2,16,61427,61427,2,61427,1,61427,13,61427,5
29,3,2,16,58745,58745,2,58745,1,58745,13,58745,3
30,3,2,16,51729,66432,1,51729,3,51729,17,51729,7
31,4,2,4,15,15,2,15,2,15,15,15,5
32,4,2,4,17,21,2,17,2,17,15,17,5
33,4,2,4,20,25,2,20,2,20,15,20,5
