InstanceID,M,N,B,OptimalMakespan,LS_MaxGroupSum,LS_Time(us),LPT_MaxGroupSum,LPT_Time(us),MULTIFIT_MaxGroupSum,MULTIFIT_Time(us),LRM_MaxGroupSum,LRM_Time(us)
1,10,2,8,30,32,23097,30,1073,20,5033,31,15697
2,10,2,8,31,36,91,31,61,19,3630,38,214
3,10,2,8,26,27,58,26,59,6,394,27,419
4,10,2,8,28,30,53,29,52,22,575,30,1282
5,10,2,8,40,41,65,40,52,27,3169,48,396
6,10,2,8,35,41,84,35,469,11,1342,38,385
7,10,2,8,36,37,49,36,252,14,246,38,239
8,10,2,8,12,14,957,12,71,8,452,15,204
9,10,2,8,21,22,48,21,36,14,145,23,119
10,10,2,8,24,25,35,24,39,17,163,27,121
11,10,2,8,11,12,37,11,42,6,128,12,148
12,10,2,8,16,17,32,16,34,12,143,20,152
13,10,2,8,33,44,45,33,40,15,162,42,149
14,10,2,8,14,15,196,14,54,8,104,16,202
15,10,2,8,35,37,33,35,36,20,88,42,978
16,10,2,8,27,27,48,27,72,6,94,28,140
17,10,2,8,23,23,30,23,67,15,89,26,102
18,10,2,8,39,41,565,39,78,26,133,50,205
19,10,2,8,27,28,67,27,26,11,94,28,106
20,10,2,8,38,47,31,38,24,17,83,42,94
21,10,2,8,36,42,21,36,24,11,162,40,130
22,10,2,8,40,40,48,40,26,26,109,43,116
23,10,2,8,38,42,30,38,21,19,193,50,115
24,10,2,8,28,35,20,28,23,10,120,31,135
25,10,2,8,17,17,18,17,22,11,168,20,205
26,10,2,16,887,1138,18,887,21,328,99,1128,125
27,10,2,16,396,398,18,396,21,176,88,500,116
28,10,2,16,231,267,20,231,20,126,81,298,98
29,10,2,16,457,479,20,464,23,336,88,536,186
30,10,2,16,1150,1330,28,1150,60,209,116,1264,105
31,10,2,16,2224,2270,16,2236,20,1269,90,2547,86
32,10,2,16,1981,1998,17,1981,21,1192,133,2234,112
33,10,2,16,3221,3226,19,3221,21,348,140,3518,103
34,10,2,16,787,1102,19,787,20,486,93,1115,94
35,10,2,16,1294,1302,18,1298,20,308,112,1382,90
36,10,2,16,338,361,23,338,23,236,79,364,135
37,10,2,16,1018,1080,17,1020,19,676,85,1177,88
38,10,2,16,2325,2345,15,2326,19,1045,99,2942,89
39,10,2,16,546,718,15,546,18,235,811,656,159
40,10,2,16,2212,2474,25,2218,2097,1178,140,2757,165
41,10,2,16,1177,1194,23,1223,21,732,80,1385,84
42,10,2,16,2281,2968,13,2311,18,1070,407,2525,207
43,10,2,16,1125,1151,30,1125,25,613,82,1337,80
44,10,2,16,218,253,26,221,21,122,95,286,87
45,10,2,16,545,710,119,547,28,273,81,709,96
46,10,2,16,318,439,15,318,19,180,95,434,87
47,10,2,16,181,185,22,182,22,129,84,200,218
48,10,2,16,2741,3835,29,2741,26,1274,117,3554,156
49,10,2,16,675,785,26,675,24,292,84,717,155
50,10,2,16,2753,3082,23,2778,21,1894,102,3238,103
51,10,2,20,14587,20489,26,14626,23,6937,265,18628,162
52,10,2,20,43265,44255,38,43304,30,30448,423,47351,288
53,10,2,20,26203,30139,44,26203,23,15967,391,35308,119
54,10,2,20,38059,45878,27,38059,20,20465,531,47710,206
55,10,2,20,20567,21669,35,20594,23,7786,402,23043,164
56,10,2,20,2918,2924,27,2918,25,726,135,3616,91
57,10,2,20,23879,25002,14,23879,19,12840,516,28756,134
58,10,2,20,33244,39346,52,33257,23,12756,539,39100,173
59,10,2,20,12582,16791,43,12582,24,5754,280,17146,128
60,10,2,20,35919,44178,31,36319,24,15770,9459,41937,396
61,10,2,20,42916,42954,35,42944,25,27977,413,48515,202
62,10,2,20,43188,45663,52,43459,40,27672,663,48744,1158
63,10,2,20,13060,13068,48,13068,33,7624,348,15721,146
64,10,2,20,27170,27185,40,27170,25,10955,810,30420,585
65,10,2,20,43005,52655,37,43005,24,16026,1572,47590,799
66,10,2,20,3301,3468,45,3348,32,1349,158,3697,223
67,10,2,20,36639,48926,33,36639,29,15566,1229,50457,226
68,10,2,20,29233,38313,61,29233,45,13726,817,35634,198
69,10,2,20,31768,37151,65,31942,25,11131,1069,33237,359
70,10,2,20,17817,18030,37,18030,24,12748,441,21721,115
71,10,2,20,46305,46478,35,46478,29,32087,731,53994,246
72,10,2,20,4090,5721,35,4090,23,2396,205,5455,90
73,10,2,20,31269,31456,26,31269,20,6339,8012,35437,359
74,10,2,20,48999,49395,35,48999,25,31451,632,65087,720
75,10,2,20,1912,2364,32,1914,24,1118,55,2529,79
76,9,3,8,29,37,39,29,19,15,84,35,61
77,9,3,8,12,14,45,12,29,7,59,15,106
78,9,3,8,22,23,14,22,65,15,171,26,119
79,9,3,8,18,27,27,19,892,7,63,24,101
80,9,3,8,40,45,15,40,40,18,85,53,58
81,9,3,8,16,20,29,16,25,8,48,20,76
82,9,3,8,25,27,13,26,15,8,33,29,86
83,9,3,8,34,37,16,35,18,19,36,42,61
84,9,3,8,13,18,14,13,44,5,66,17,61
85,9,3,8,22,23,18,22,20,12,46,29,62
86,9,3,8,37,54,22,37,23,14,42,49,55
87,9,3,8,31,40,19,31,19,15,57,33,58
88,9,3,8,37,46,17,37,68,19,34,45,96
