NumMachines,NumTasks,Algorithm,TimeMean,TimeMin,TimeMax,Makespan,MeanDistanceToIdeal
30,500,LS,0.00019179,0.000181756,0.000206632,64576,4028
30,500,LPT,0.000251646,0.000234485,0.000274,60637,89
30,500,MULTIFIT,0.00134526,0.00132149,0.00138482,61021,473
30,500,Genetic,0.108023,0.0978745,0.113629,60595.6,47.6
40,500,LS,0.000209556,0.000203537,0.000217984,49882,4166.7
40,500,LPT,0.000291197,0.000269753,0.000329346,45845,129.7
40,500,MULTIFIT,0.00156507,0.0014731,0.00180751,46072,356.7
40,500,Genetic,0.104882,0.0663824,0.185381,45793.8,78.5
50,500,LS,0.00024931,0.000207574,0.000293508,39821,4321.86
50,500,LPT,0.000350835,0.000287717,0.000508757,35627,127.86
50,500,MULTIFIT,0.00259057,0.00157477,0.0033506,35776,276.86
50,500,Genetic,0.0926606,0.0529998,0.190504,35596.6,97.46
30,600,LS,0.000221828,0.000206312,0.000235668,76384,3878.63
30,600,LPT,0.000302382,0.000290171,0.000324126,72601,95.6333
30,600,MULTIFIT,0.00169739,0.00157931,0.00198793,73071,565.633
30,600,Genetic,0.13133,0.0629261,0.207636,72560.6,55.2333
40,600,LS,0.000248045,0.000238112,0.000260215,57506,3321.88
40,600,LPT,0.000346639,0.000324827,0.000375153,54344,159.875
40,600,MULTIFIT,0.00187736,0.00167693,0.00240183,54607,422.875
40,600,Genetic,0.209634,0.0714895,0.329125,54254.6,70.475
50,600,LS,0.000265564,0.000233052,0.00032108,48390,4040.04
50,600,LPT,0.000320345,0.000302114,0.000343091,44479,129.04
50,600,MULTIFIT,0.00182807,0.00176356,0.00197768,44695,345.04
50,600,Genetic,0.127159,0.0705973,0.204072,44444.8,94.84
30,700,LS,0.000246912,0.000237001,0.000271817,89382,3780.07
30,700,LPT,0.000389103,0.000338683,0.000480468,85650,48.0667
30,700,MULTIFIT,0.00182392,0.00179457,0.00187003,86269,667.067
30,700,Genetic,0.12848,0.0725173,0.26588,85641.2,39.2667
40,700,LS,0.000324723,0.000290973,0.000412404,65903,4291.8
40,700,LPT,0.000472784,0.000433283,0.000550937,61702,90.8
40,700,MULTIFIT,0.00221172,0.00199872,0.00240261,62092,480.8
40,700,Genetic,0.202291,0.0857476,0.363425,61660.4,49.2
50,700,LS,0.000278335,0.000274552,0.00028401,54783,3741.46
50,700,LPT,0.00038328,0.000360264,0.000396965,51121,79.46
50,700,MULTIFIT,0.00226247,0.00209342,0.00272753,51439,397.46
50,700,Genetic,0.173283,0.0818343,0.373379,51098.6,57.06
30,800,LS,0.000304972,0.000293013,0.00032207,99364,3537.73
30,800,LPT,0.000432706,0.000408109,0.000456951,95895,68.7333
30,800,MULTIFIT,0.0022815,0.00220418,0.00244839,96574,747.733
30,800,Genetic,0.305178,0.216822,0.37957,95851.6,25.3333
40,800,LS,0.000367533,0.000337439,0.000392176,77969,3907.15
40,800,LPT,0.000511582,0.000472223,0.000542893,74140,78.15
40,800,MULTIFIT,0.00230525,0.00228593,0.00233268,74639,577.15
40,800,Genetic,0.321249,0.124182,0.636747,74109.8,47.95
50,800,LS,0.000334647,0.00032653,0.000344733,62846,4332.32
50,800,LPT,0.000478412,0.000447911,0.00053954,58578,64.32
50,800,MULTIFIT,0.00245687,0.00243848,0.00248293,58970,456.32
50,800,Genetic,0.0999574,0.0951633,0.10889,58578,64.32
30,900,LS,0.000344733,0.00032932,0.000364172,111880,3921.43
30,900,LPT,0.000479283,0.000460566,0.00050167,107977,18.4333
30,900,MULTIFIT,0.00257827,0.00243627,0.00295923,108801,842.433
30,900,Genetic,0.127041,0.109301,0.187613,107977,18.0333
40,900,LS,0.000389542,0.000374342,0.000405949,85201,3080.55
40,900,LPT,0.000550765,0.000516084,0.000618285,82170,49.55
40,900,MULTIFIT,0.00264722,0.00258151,0.00285761,82761,640.55
40,900,Genetic,0.220723,0.115565,0.334772,82153.4,32.95
50,900,LS,0.00037394,0.000368383,0.000385207,69424,4785.36
50,900,LPT,0.000545624,0.000518689,0.000581859,64736,97.36
50,900,MULTIFIT,0.00281178,0.00270729,0.00298046,65142,503.36
50,900,Genetic,0.27006,0.118488,0.412693,64697,58.36
30,1000,LS,0.00037609,0.00036987,0.000391362,124954,3842.67
30,1000,LPT,0.000534275,0.000514261,0.00056573,121151,39.6667
30,1000,MULTIFIT,0.00277994,0.00267281,0.00313886,122057,945.667
30,1000,Genetic,0.304682,0.12458,0.516969,121138,26.8667
40,1000,LS,0.000477985,0.000469499,0.000488353,91974,3899.48
40,1000,LPT,0.000606248,0.000566338,0.000657012,88105,30.475
40,1000,MULTIFIT,0.00285941,0.00283337,0.00288648,88762,687.475
40,1000,Genetic,0.278089,0.147045,0.484468,88100,25.475
50,1000,LS,0.000433787,0.00040215,0.000495711,76459,4385.94
50,1000,LPT,0.000587479,0.000556103,0.000616808,72154,80.94
50,1000,MULTIFIT,0.00300676,0.00296222,0.00305608,72636,562.94
50,1000,Genetic,0.397021,0.131573,0.746015,72115.2,42.14
